insee_com,lib_com,lib_cite1,lib_cite2,lib_cite3,lib_cite4,lib_cite5,annee_lab_cite1,annee_lab_cite2,annee_lab_cite3,annee_lab_cite4,annee_lab_cite5,mail_cite1,mail_cite2,mail_cite3,mail_cite4,mail_cite5,URL_cite1,URL_cite2,URL_cite3,URL_cite4,URL_cite5,QPV1_cite1,QPV2_cite1,QPV3_cite1,QPV4_cite1,QPV5_cite1,QPV6_cite1,QPV7_cite1,QPV8_cite1,QPV9_cite1,QPV10_cite1,QPV1_cite2,QPV2_cite2,QPV3_cite2,QPV4_cite2,QPV1_cite3,QPV1_cite4,QPV2_cite4,QPV3_cite4,QPV4_cite4,QPV1_cite5
35238,Rennes,Rennes Le Blosne,Rennes Maurepas,Rennes Villejean,,,2019,2022,2022,,,,,,,,,,,,,Le Blosne,,,,,,,,,,Maurepas ,,,,Villejean,,,,,
69286,Rillieux-la-Pape,Rillieux-la-Pape,,,,,2019,,,,,,,,,,,,,,,Ville Nouvelle,,,,,,,,,,,,,,,,,,,
91521,Ris-Orangis,Ris-Orangis,,,,,2022,,,,,,,,,,,,,,,Le Plateau,,,,,,,,,,,,,,,,,,,
93063,Romainville,Romainville,,,,,2022,,,,,,,,,,,,,,,Trois Communes - Fabien,Quartier de L'Horloge,,,,,,,,,,,,,,,,,,
59512,Roubaix,Roubaix,,,,,2019,,,,,,,,,,,,,,,Quartier Intercommunal Roubaix-Tourcoing - Blanc Seau - Croix Bas Saint Pierre,,,,,,,,,,,,,,,,,,,
76540,Rouen,Rouen,,,,,2019,,,,,,,,,,,,,,,Les Hauts De Rouen,,,,,,,,,,,,,,,,,,,
97410,Saint-Benoît,Saint-Benoît,,,,,2021,,,,,,,,,,,,,,,Rive Droite de Saint-Benoît,,,,,,,,,,,,,,,,,,,
39478,Saint-Claude,Saint-Claude,,,,,2022,,,,,,,,,,,,,,,Les Avignonnets,Chabot - Le Miroir,,,,,,,,,,,,,,,,,,
93066,Saint-Denis,Saint-Denis,,,,,2021,,,,,,,,,,,,,,,Franc Moisin - Cosmonautes - Cristino Garcia - Landy,Floréal Saussaie Allende,,,,,,,,,,,,,,,,,,
52448,Saint-Dizier,Saint-Dizier,,,,,2022,,,,,,,,,,,,,,,Vert-Bois,,,,,,,,,,,,,,,,,,,
91549,Sainte-Geneviève-des-Bois,Sainte-Geneviève-des-Bois / Saint-Michel-sur-Orge / Fleury-Merogis,,,,,2022,,,,,,,,,,,,,,,Le Bois Des Roches,Les Aunettes,La Grange Aux Cerfs,Les Aunettes,,,,,,,,,,,,,,,,
91570,Saint-Michel-sur-Orge,Sainte-Geneviève-des-Bois / Saint-Michel-sur-Orge / Fleury-Merogis,,,,,2022,,,,,,,,,,,,,,,Le Bois Des Roches,Les Aunettes,La Grange Aux Cerfs,Les Aunettes,,,,,,,,,,,,,,,,
91235,Fleury-Mérogis,Sainte-Geneviève-des-Bois / Saint-Michel-sur-Orge / Fleury-Merogis,,,,,2022,,,,,,,,,,,,,,,Le Bois Des Roches,Les Aunettes,La Grange Aux Cerfs,Les Aunettes,,,,,,,,,,,,,,,,
97129,Sainte-Rose,Sainte-Rose,,,,,2022,,,,,,,,,,,,,,,Le Bourg,La Boucan,,,,,,,,,,,,,,,,,,
42218,Saint-Étienne,Saint-Etienne Tarentaize Beaubrun,Saint-Etienne Montreynaud,,,,2019,2022,,,,,,,,,,,,,,Tarentaize Beaubrun,,,,,,,,,,Montreynaud,,,,,,,,,
76575,Saint-Étienne-du-Rouvray,Saint-Etienne-du-Rouvray,,,,,2019,,,,,,,,,,,,,,,Quartier Château Blanc,,,,,,,,,,,,,,,,,,,
97311,Saint-Laurent-du-Maroni,Saint-Laurent-du-Maroni,,,,,2021,,,,,,,,,,,,,,,Balate-Charbonnière,Centre Ville,Fatima - Route De Mana,RN1-Les Sables Blancs,Saint-Jean,Saint-Maurice,,,,,,,,,,,,,,
97414,Saint-Louis,Saint-Louis,,,,,2022,,,,,,,,,,,,,,,Le Gol,Centre Ville,Roche Maigre,,,,,,,,,,,,,,,,,
97801,Saint-Martin,Saint-Martin,,,,,2022,,,,,,,,,,,,,,,Sandy-Ground,,,,,,,,,,,,,,,,,,,
44184,Saint-Nazaire,Saint-Nazaire,,,,,2019,,,,,,,,,,,,,,,Ville Ouest,,,,,,,,,,,,,,,,,,,
93070,Saint-Ouen-sur-Seine,Saint-Ouen,,,,,2022,,,,,,,,,,,,,,,Cordon,Michelet - Les Puces - Debain,,,,,,,,,,,,,,,,,,
97416,Saint-Pierre,Saint-Pierre,,,,,2022,,,,,,,,,,,,,,,Bois D'Olives,,,,,,,,,,,,,,,,,,,
02691,Saint-Quentin,Saint-Quentin,,,,,2019,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,
95585,Sarcelles,Sarcelles,,,,,2019,,,,,,,,,,,,,,,Lochères,Rosiers Chantepie,Village - Mozart,,,,,,,,,,,,,,,,,
78586,Sartrouville,Sartrouville,,,,,2022,,,,,,,,,,,,,,,Plateau,Vieux Pays,,,,,,,,,,,,,,,,,,
08409,Sedan,Sedan,,,,,2022,,,,,,,,,,,,,,,Le Lac - Centre Ancien,,,,,,,,,,,,,,,,,,,
34301,Sète,Sète,,,,,2021,,,,,,,,,,,,,,,Ile De Thau,Centre Ville - Ile Sud,,,,,,,,,,,,,,,,,,
93071,Sevran,Sevran,,,,,2019,,,,,,,,,,,,,,,Les Beaudottes,,,,,,,,,,,,,,,,,,,
02722,Soissons,Soissons,,,,,2021,,,,,,,,,,,,,,,Saint-Crépin Ouest,Presles,Chevreux,,,,,,,,,,,,,,,,,
16374,Soyaux,Soyaux,,,,,2021,,,,,,,,,,,,,,,Champ De Manoeuvre,,,,,,,,,,,,,,,,,,,
67482,Strasbourg,Strasbourg Neuhof - Elsau,Strasbourg Hautepierre,,,,2019,2021,,,,,,,,,,,,,,Elsau,Neuhof - Meinau,,,,,,,,,Hautepierre,,,,,,,,,
47310,Tonneins,Tonneins,,,,,2022,,,,,,,,,,,,,,,Coeur De ville,,,,,,,,,,,,,,,,,,,
83137,Toulon,Toulon Est,Toulon Ouest,,,,2021,2022,,,,,,,,,,,,,,Beaulieu- Sainte Marie,Sainte Musse,,,,,,,,,La Beaucaire,La Florane,Pontcarral,Le Jonquet- La Baume- Le Guynemer,,,,,,
31555,Toulouse,Toulouse Grand Mirail,Toulouse Les Izards,,,,2019,2021,,,,,,,,,,,,,,Grand Mirail,,,,,,,,,,Les Izards - La Vache,,,,,,,,,
59599,Tourcoing,Tourcoing Nord Est,Tourcoing Sud,,,,2019,2022,,,,,,,,,,,,,,Virolois,La Bourgogne,,,,,,,,,Quartier Intercommunal Roubaix-Tourcoing - Blanc Seau - Croix Bas Saint Pierre,Phalempins,Epidéme Villas Couteaux,,,,,,,
37261,Tours,Tours,,,,,2022,,,,,,,,,,,,,,,Sanitas,,,,,,,,,,,,,,,,,,,
78621,Trappes,Trappes,,,,,2019,,,,,,,,,,,,,,,Merisiers-Plaine De Neauphle,,,,,,,,,,,,,,,,,,,
49353,Trélazé,Trélazé,,,,,2021,,,,,,,,,,,,,,,Le Grand Bellevue,,,,,,,,,,,,,,,,,,,
27701,Val,Val-de-Reuil,,,,,2022,,,,,,,,,,,,,,,Centre Ville,,,,,,,,,,,,,,,,,,,
59606,Valenciennes,Valenciennes / Anzin,,,,,2019,,,,,,,,,,,,,,,Verrerie - Square République,Zone Intercommunale Rives De L'Escaut,Dutemple Chasse Royale Saint Waast - La Sentinelle,,,,,,,,,,,,,,,,,
59014,Anzin,Valenciennes / Anzin,,,,,2019,,,,,,,,,,,,,,,Verrerie - Square République,Zone Intercommunale Rives De L'Escaut,Dutemple Chasse Royale Saint Waast - La Sentinelle,,,,,,,,,,,,,,,,,
94074,Valenton,Valenton,,,,,2022,,,,,,,,,,,,,,,Polognes-Centre Ville - Le Plateau - Saint-Martin,Lutèce- Bergerie,,,,,,,,,,,,,,,,,,
69256,Vaulx,Vaulx-en-Velin,,,,,2019,,,,,,,,,,,,,,,Grande Île,,,,,,,,,,,,,,,,,,,
69259,Vénissieux,Vénissieux / Saint-Fons,,,,,2019,,,,,,,,,,,,,,,Minguettes - Clochettes,,,,,,,,,,,,,,,,,,,
69199,Saint-Fons,Vénissieux / Saint-Fons,,,,,2019,,,,,,,,,,,,,,,Minguettes - Clochettes,,,,,,,,,,,,,,,,,,,
69264,Villefranche-sur-Saône,Villefranche-sur-Saône / Gleizé / Limas,,,,,2022,,,,,,,,,,,,,,,Le Garet,Béligny,Belleroche,,,,,,,,,,,,,,,,,
69092,Gleizé,Villefranche-sur-Saône / Gleizé / Limas,,,,,2022,,,,,,,,,,,,,,,Le Garet,Béligny,Belleroche,,,,,,,,,,,,,,,,,
69115,Limas,Villefranche-sur-Saône / Gleizé / Limas,,,,,2022,,,,,,,,,,,,,,,Le Garet,Béligny,Belleroche,,,,,,,,,,,,,,,,,
92078,Villeneuve,Villeneuve-La-Garenne,,,,,2022,,,,,,,,,,,,,,,AIRE 2029,,,,,,,,,,,,,,,,,,,
94078,Villeneuve,Villeneuve-Saint-Georges,,,,,2021,,,,,,,,,,,,,,,Le Quartier Nord,,,,,,,,,,,,,,,,,,,
69266,Villeurbanne,Villeurbanne,,,,,2022,,,,,,,,,,,,,,,Monod,Les Buers Sud,Bel Air - Les Brosses,Saint-Jean,Les Buers Nord,Tonkin,,,,,,,,,,,,,,
95680,Villiers,Villiers-le-Bel,,,,,2019,,,,,,,,,,,,,,,Carreaux - Fauconnière - Marronniers - Pôle Gare,Village - Le Puits La Marlière - Derrière Les Murs De Monseigneur,,,,,,,,,,,,,,,,,,
13117,Vitrolles,Vitrolles,,,,,2021,,,,,,,,,,,,,,,Secteur Centre,La Frescoule,,,,,,,,,,,,,,,,,,
